id	title	original_title	overview	release_date	original_language	genre_ids	adult	poster_path	backdrop_path	popularity	vote_count	vote_average	video
11544	Lilo & Stitch	Lilo & Stitch	"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and 'ohana, the Hawaiian tradition of family."	2002-06-21	en	16, 10751	FALSE	/d73UqZWyw3MUMpeaFcENgLZ2kWS.jpg	/AcxbOWUbwtIEDisfuhNGHQNfnMK.jpg	71.731	4627	7.5	FALSE
10784	Cabaret	Cabaret	Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.	1972-02-13	en	10402, 18, 10749	FALSE	/fMhOeJ2TvuY46iYGmsowhgRXfnr.jpg	/vDZgayjp6BDobZh7CP1I2yD6d8A.jpg	9.459	622	7.5	FALSE
176983	One Piece Film: Z	ワンピース フィルム ゼット	Zephyr, now known as Z, rides the seas with only one goal: Destroy all pirates and their dreams at becoming King of Pirates. When Luffy and his crew encounter him at sea, not only are they utterly defeated by the man with an arm made of Seastone, Nami, Robin, and Chopper are turned 10 years younger due to Z's minion Ain. Luffy is so determined to win against him that he does not even notice Z's master plan that could sacrifice thousands of lives.	2012-12-15	ja	28, 12, 16	FALSE	/gLyelbsRYljP2iWiD5iubA02kBA.jpg	/59M1aPwmaVvzZ5KR6dagkC3pUb7.jpg	58.654	344	7.5	FALSE
132344	Before Midnight	Before Midnight	It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. Now, live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.	2013-04-05	en	10749, 18	FALSE	/6wTw6762kAVTkyQWoHRUuUiRpBp.jpg	/lv9UT4VyoyGFTKNBboMTeZ5ZcD3.jpg	10.458	1670	7.5	FALSE
11710	The Enigma of Kaspar Hauser	Jeder für sich und Gott gegen alle	The film follows Kaspar Hauser (Bruno S.), who lived the first seventeen years of his life chained in a tiny cellar with only a toy horse to occupy his time, devoid of all human contact except for a man who wears a black overcoat and top hat who feeds him.	1974-11-01	de	18, 36	FALSE	/tohQfaM4pKvrxP8eSd1HKoSGU0Z.jpg	/cV0FFFDbh5dHBgDuWdDiLDRfsi3.jpg	6.593	202	7.5	FALSE
16234	Batman Beyond: Return of the Joker	Batman Beyond: Return of the Joker	The Joker is back with a vengeance, and Gotham's newest Dark Knight, Terry McGinnis, needs answers as he stands alone to face Gotham's most infamous Clown Prince of Crime.	2000-12-12	en	16, 10751, 28, 878	FALSE	/7RlBs0An83fqAuKfwH5gKMcqgMc.jpg	/7eFRxrUpEmXSRaQnSEum3hjmu9c.jpg	22.073	594	7.5	FALSE
9665	Glory	Glory	Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.	1989-12-15	en	18, 36, 10752	FALSE	/pGDzBjZvzmSCIEduQBfESLMiwtp.jpg	/d5wmW296KYW9ZOWomVPubF1vOsR.jpg	11.393	1096	7.5	FALSE
881	A Few Good Men	A Few Good Men	When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.	1992-12-11	en	18	FALSE	/rLOk4z9zL1tTukIYV56P94aZXKk.jpg	/vjbShxKH8IzzyHJWk1jljjhJxcR.jpg	18.276	2461	7.5	FALSE
15165	Barbie as The Princess & the Pauper	Barbie as The Princess & the Pauper	In her first animated musical featuring seven original songs, Barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. Based on the story by Mark Twain,	2004-09-28	en	16, 10751, 35	FALSE	/xHYsUwUe4MaNc6mbNBGTkqZSnPk.jpg	/jZ2o6ltHNEDCWwe4CQotow8l5YP.jpg	59.074	1093	7.5	FALSE
10843	After Hours	After Hours	An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho whom he met that evening at a coffee shop.	1985-09-13	en	35, 53, 18	FALSE	/eamOBurHBu0MIxohTIVcfxmZ6Z7.jpg	/kygOSBC0V0uRE6zmIaOO50rG9eg.jpg	11.219	918	7.5	FALSE
